Component,,Model,,,Quantity,Product Link,,,Total Cost
ESP-32-WROOM-32,,RoboticsDNA ESP32 WROOM-32,,,1,https://roboticsdna.in/product/esp32-wroom-32-c-type-cp2102-usb-dual-core-wifi-bluetooth-38-pins-model-2/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=22411741198&gbraid=0AAAAAC-xzeHje-l2Lxopsxt_UuDHfabcM&gclid=Cj0KCQjwof_QBhCgARIsADaMzOcnLnmZhPrXubtf1MriwUvzLbW7GL1x9bBUtvT7O2iZnt-2gxLJO40aAltNEALw_wcB,,,$6
HC-SR04 Ultrasonic Sensor,,Robocraze HC-SR04 Ultrasonic Sensor,,,1,https://www.amazon.in/dp/B01I1ZTPJC?ref=ppx_yo2ov_dt_b_fed_asin_title,,,$2.20
DS18B20 Waterproof Sensor,,Robodo SEN9 DS18B20,,,1,https://www.amazon.in/dp/B073Q3D7YQ?ref=ppx_yo2ov_dt_b_fed_asin_title,,,$2.08
TDS Sensor,,DFRobot Gravity Analog TDS Water Sensor,,,1,https://www.amazon.in/dp/B0GGBRGK55?ref=ppx_yo2ov_dt_b_fed_asin_title,,,$20.39
Turbidity Sensor,,Robocraze Turbidity Detection Sensor,,,1,https://www.amazon.in/dp/B08MW2QHCD?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,,$8.78
pH Sensor,,LABART 0-14 pH Probe,,,1,https://www.amazon.in/dp/B0CLDH25VK?ref=ppx_yo2ov_dt_b_fed_asin_title,,,$4.18
4.7k Resistor,,Electronic Spices 4.7K Ohm (Ω) Resistors,,,1,https://www.amazon.in/Electronic-Spices-Tolerance-Through-Resistors/dp/B0BDTXKCM3/ref=sr_1_4?crid=2YWUSJ8SQZ9RO&dib=eyJ2IjoiMSJ9.244SPXRlHl2Vk2_yO9Biqdw-RJoOYUH4uUKoMRFIBEguZcRTpuzjDOWw61QnDXR9GQm-98kkXDun6Di39a5GTUm68AFfD40MJGC3-A93iJ7n68rhp45c162fqi3pcIh8aqQl-g1ZzsWu3GMkyVA_cBbz7GpLI8QqAHl0ObqoYKW8q2q_vhKAPfjea4sqwe9-0jJy_ZUjjkSd5bgzvtfdKJQYMjOj2lnjC5Ed6M9ywSTAzR-czju3CM62GLmQho6vinLci4T3aG3CA3KsDleNBsgXgf22cGMr99MpVBeT0I8.ODIhWTq8afoBGjRNTQxNS9_9FLwWHp8gzqwJ3l1RMKk&dib_tag=se&keywords=4.7k%2Bohm%2Bresistor&qid=1780481634&sprefix=4.7k%2Bohm%2Bresistor%2Caps%2C234&sr=8-4&th=1,,,$0.02
2k Resistor,,Electronic Spices 2.2K Ohm (Ω) Resistors,,,1,https://www.amazon.in/Electronic-Spices-Tolerance-Through-Resistors/dp/B0BDTXKCM3/ref=sr_1_4?crid=2YWUSJ8SQZ9RO&dib=eyJ2IjoiMSJ9.244SPXRlHl2Vk2_yO9Biqdw-RJoOYUH4uUKoMRFIBEguZcRTpuzjDOWw61QnDXR9GQm-98kkXDun6Di39a5GTUm68AFfD40MJGC3-A93iJ7n68rhp45c162fqi3pcIh8aqQl-g1ZzsWu3GMkyVA_cBbz7GpLI8QqAHl0ObqoYKW8q2q_vhKAPfjea4sqwe9-0jJy_ZUjjkSd5bgzvtfdKJQYMjOj2lnjC5Ed6M9ywSTAzR-czju3CM62GLmQho6vinLci4T3aG3CA3KsDleNBsgXgf22cGMr99MpVBeT0I8.ODIhWTq8afoBGjRNTQxNS9_9FLwWHp8gzqwJ3l1RMKk&dib_tag=se&keywords=4.7k%2Bohm%2Bresistor&qid=1780481634&sprefix=4.7k%2Bohm%2Bresistor%2Caps%2C234&sr=8-4&th=1,,,$0.02
1k Resistor,,Electronic Spices 1K Ohm (Ω) Resistors,,,1,https://www.amazon.in/Electronic-Spices-Tolerance-Through-Resistors/dp/B0BF4ZY1KV/ref=sr_1_6?crid=M04O1FA4JXK0&dib=eyJ2IjoiMSJ9.jQVxFqxA-kF1hjW6vI-a1UZ4Bp_q_zWmZ2lrS71EiH46fNI_1Dx8OFQqY_AJ-DjJ2wjqGMiTVKhfEIOFEhOWnn80C96402udXJBnV7JKjx5FZP1fuUlh6EpupfsRDbORi5dAT7QrbCrRbvLAwCZadybZ6YzgD2M2BIYOYJvDHgWfyGb9itc9k0IUyEsfga07Nd3EYhLoYMVwQ2rXhVW0AVG4qgRnlHObDA4UlhVJWjIp87otQY8MREZPj5EHcWzAmyMfJK3vZbUlNtxFD8dSi4ZjfiH1_1p0n-674pJjvqM._eQN5-3K1QD2lIlv5q7vE7VU4lmZsTbb8qMXYYSwims&dib_tag=se&keywords=1k%2Bohm%2Bresistor&qid=1780481881&sprefix=1k%2Bohm%2Bresistor%2Caps%2C245&sr=8-6&th=1,,,$0.07
0.1µF Capacitor,,AVS COMPONENTS 0.1µF Capacitor,,,1,https://www.amazon.in/AVS-COMPONENTS-Ceramic-Capacitor-50pcs/dp/B08THNHHHX/ref=sr_1_5?crid=2R83MK3T6ODD8&dib=eyJ2IjoiMSJ9.3OflFmPEgsHn48CaLYETP3d_Ufl1hYGi3z0bZi7hCqQULgvK5yHExVhGdIRHRB0BHaW0Djx790OKfctlKnzKQwcnZwGiNWGZ0p3dnTLmvJKbG0Od-L-dKt53fgnfJqxTvMSC2yNyXdvyE-7za26Sj2EaNXUsS8U1tAp_GPWCu9QtXUdDcsyWIXHvDiVc9xwo8flUo5SfJE76oXtJAmiQ-4PWc2ZYDWVcqh_4FYNWKqs.EQF3CyMAey0fFyZembgGeRpw0pSu2V6K058J8XUUw-U&dib_tag=se&keywords=0.1%C2%B5F+Capacitor&qid=1780482062&sprefix=0.1%C2%B5f+capacitor%2Caps%2C256&sr=8-5,,,$0.02
